Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x0017 021 : (Channel Adapter portguid guid: r05n03)
0x0018 023 : (Channel Adapter portguid guid: r07n12)
0x0019 023 : (Channel Adapter portguid guid: r06n18)
0x001a 024 : (Channel Adapter portguid guid: r07n10)
0x001c 023 : (Channel Adapter portguid guid: r05n10)
0x001d 024 : (Channel Adapter portguid guid: r07n06)
0x001e 021 : (Channel Adapter portguid guid: r05n15)
0x001f 024 : (Channel Adapter portguid guid: r05n04)
0x0020 021 : (Channel Adapter portguid guid: r07n01)
0x0021 022 : (Channel Adapter portguid guid: r06n07)
0x0022 024 : (Channel Adapter portguid guid: r08n05)
0x0023 023 : (Channel Adapter portguid guid: r07n08)
0x0024 023 : (Channel Adapter portguid guid: r08n07)
0x0025 009 : (Channel Adapter portguid guid: r04n09)
0x0026 021 : (Channel Adapter portguid guid: r07n05)
0x0027 021 : (Channel Adapter portguid guid: r06n01)
0x0028 024 : (Channel Adapter portguid guid: r08n09)
0x0029 022 : (Channel Adapter portguid guid: r07n03)
0x002a 024 : (Channel Adapter portguid guid: r05n12)
0x002b 022 : (Channel Adapter portguid guid: r08n18)
0x002c 023 : (Channel Adapter portguid guid: r05n14)
0x002d 023 : (Channel Adapter portguid guid: r06n14)
0x002e 022 : (Channel Adapter portguid guid: r05n01)
0x002f 023 : (Channel Adapter portguid guid: r05n18)
0x0030 021 : (Channel Adapter portguid guid: r07n13)
0x0031 022 : (Channel Adapter portguid guid: r05n13)
0x0032 023 : (Channel Adapter portguid guid: r06n10)
0x0033 021 : (Channel Adapter portguid guid: r08n16)
0x0034 022 : (Channel Adapter portguid guid: r07n07)
0x0035 023 : (Channel Adapter portguid guid: r07n04)
0x0036 023 : (Channel Adapter portguid guid: r07n16)
0x0038 022 : (Channel Adapter portguid guid: r08n10)
0x0039 024 : (Channel Adapter portguid guid: r07n02)
0x003a 021 : (Channel Adapter portguid guid: r05n07)
0x003b 022 : (Channel Adapter portguid guid: r06n13)
0x003c 023 : (Channel Adapter portguid guid: r05n02)
0x003d 021 : (Channel Adapter portguid guid: r08n08)
0x003e 024 : (Channel Adapter portguid guid: r08n17)
0x003f 021 : (Channel Adapter portguid guid: r08n04)
0x0040 023 : (Channel Adapter portguid guid: r06n04)
0x0041 024 : (Channel Adapter portguid guid: r05n16)
